"id","code","cat","ministry","name","issue_date","status","review_date","created_at","updated_at","law_type","hierarchy_level","repeal_date","repeal_reason","replaced_by_code","repealed_by_authority","effective_date","doc_list","source_url","active","responsible","report_due_date","ai_summary","ai_summary_at","gazette_ref"
"25","LA-026","LA","กระทรวงสาธารณสุข","ประกาศกระทรวงสาธารณสุข เรื่อง การแจ้งและการรายงานในกรณีพบผู้ซึ่งเป็นหรือมีเหตุอันควรสงสัยว่าเป็น โรคจากการประกอบอาชีพหรือโรคจากสิ่งแวดล้อม พ.ศ. ๒๕๖๕","19/12/2565","ok","2026-03-31","2026-06-05T17:44:56.542233+00:00","2026-07-31T15:18:29.978977+00:00",,"5",,,,,,,,"true",,,,,
"30","LA-031","LA","กระทรวงแรงงาน","กฎกระทรวงการอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2567","14/11/2567","bad","2026-06-30","2026-06-05T17:44:56.542233+00:00","2026-08-02T13:57:48.841+00:00",,"5",,,,,"12/05/2568",,,"true",,,,,
"20","LA-020","LA",,"ประกาศกรมสวัสดิการและคุ้มครองแรงงานเรื่องกำหนดแบบแจ้งการเกิดอุบัติภัย ร้ายแรง หรือการประสบอันตรายจากการ ทำงาน   พ.ศ. 2554","19/10/2554","ok","2026-12-31","2026-06-05T17:44:56.542233+00:00","2026-07-11T12:39:14.098872+00:00",,"5",,,,,"19/10/2554",,,"true",,,,,
"22","LA-023","LA","กระทรวงแรงงาน","ประกาศกรมสวัสดิการและคุ้มครองแรงงาน เรื่อง การฝึกอบรมหรือการพัฒนาความรู้ของเจ้าหน้าที่ความปลอดภัยในการทำงานระดับเทคนิค ระดับเทคนิคขั้นสูง และระดับวิชาชีพ เกี่ยวกับความปลอดภัยในการทำงาน","26/10/2565","ok","2026-06-30","2026-06-05T17:44:56.542233+00:00","2026-07-11T12:39:14.098872+00:00",,"5",,,,,"27/10/2565",,,"true",,,,,
"23","LA-024","LA","กระทรวงแรงงาน","ประกาศกรมสวัสดิการและคุ้มครองแรงงาน เรื่อง แบบรายงานผลการดำเนินงานของเจ้าหน้าที่ความปลอดภัยในการทำงานระดับเทคนิค ระดับเทคนิคขั้นสูง และระดับวิชาชีพ","06/10/2565","ok","2026-09-30","2026-06-05T17:44:56.542233+00:00","2026-07-11T12:39:14.098872+00:00",,"5",,,,,,,,"true",,,,,
"24","LA-025","LA","กระทรวงแรงงาน","ประกาศกรมสวัสดิการและคุ้มครองแรงงาน เรื่อง การแจ้งการขึ้นทะเบียน การพ้นจากตำแหน่งหรือพ้นจากหน้าที่ของเจ้าหน้าที่ความปลอดภัยในการทำงาน และผู้บริหารหน่วยงานความปลอดภัย","06/10/2565","ok","2026-12-31","2026-06-05T17:44:56.542233+00:00","2026-07-11T12:39:14.098872+00:00",,"5",,,,,,,,"true",,,,,
"26","LA-027","LA","กระทรวงแรงงาน","ประกาศกรมสวัสดิการและคุ้มครองแรงงาน
เรื่อง หลักสูตรการฝึกอบรม คุณสมบัติวิทยากร และการดำเนินการฝึกอบรมเจ้าหน้าที่ความปลอดภัย
ในการทำางานระดับหัวหน้างานและระดับบริหาร","27/02/2566","ok","2026-06-30","2026-06-05T17:44:56.542233+00:00","2026-07-11T12:39:14.098872+00:00",,"5",,,,,"28/02/2566",,,"true",,,,,
"27","LA-028","LA","กระทรวงแรงงาน","ประกาศกรมสวัสดิการและคุ้มครองแรงงาน เรื่อง หลักสูตรการฝึกอบรม คุณสมบัติวิทยากร และการดำเนินการฝึกอบรมคณะกรรมการความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงานของสถานประกอบกิจการ และผู้บริหารหน่วยงานความปลอดภัย","30/03/2566","ok","2026-09-30","2026-06-05T17:44:56.542233+00:00","2026-07-11T12:39:14.098872+00:00",,"5",,,,,"31/03/2566",,,"true",,,,,
"28","LA-029","LA","กระทรวงแรงงาน","ประกาศกรมสวัสดิการและคุ้มครองแรงงาน เรื่อง  การแจ้งกำหนดการให้บริการ  และการรายงานสรุปผลการให้บริการด้านความปลอดภัย     อาชีวอนามัย  และสภาพแวดล้อมในการทำงาน  ของผู้รับใบสำคัญและผู้รับใบอนุญาต","07/09/2566","ok","2026-12-31","2026-06-05T17:44:56.542233+00:00","2026-07-11T12:39:14.098872+00:00",,"5",,,,,"08/09/2566",,,"true",,,,,
"29","LA-030","LA","กระทรวงแรงงาน","ประกาศกรมสวัสดิการและคุ้มครองแรงงาน เรื่อง หลักเกณฑ์ วิธีการ และเงื่อนไขการฝึกอบรมผู้บริหาร หัวหน้างาน และลูกจ้างด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อม ในการทำงาน (ฉบับที่ 2)","26/09/2566","ok","2026-03-31","2026-06-05T17:44:56.542233+00:00","2026-07-11T12:39:14.098872+00:00",,"5",,,,,"27/09/2566",,,"true",,,,,
"31","LA-032","LA","กระทรวงแรงงาน","ประกาศกระทรวงแรงงาน เรื่อง การประเมินอันตราย การศึกษาผลกระทบของสภาพแวดล้อมในการทำงานและการจัดทำแผนควบคุมดูแลลูกจ้างและสถานประกอบกิจการ","22/11/2567","bad","2026-06-30","2026-06-05T17:44:56.542233+00:00","2026-07-11T12:39:14.098872+00:00",,"5",,,,,"23/05/2568",,,"true",,,,,
